time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport,Len
1783943884.5349402,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.534991,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.53504,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5350904,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5351393,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5351899,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5352385,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,137
1783943884.5352921,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5353434,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.5354097,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5354767,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5355256,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5355752,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5356243,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.535678,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5357282,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,136
1783943884.5357778,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5358293,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.5358794,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5359309,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5359833,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.536035,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.536085,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5361369,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.536191,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.536242,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,136
1783943884.5362926,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5363445,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.536416,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5365896,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5366642,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.536735,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5368032,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5368679,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5369375,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5370083,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5370736,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,136
1783943884.5371416,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.5372021,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5372746,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5373344,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5374105,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5374818,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5375452,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5376067,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5376656,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5377295,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5378008,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5378604,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,135
1783943884.537921,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.538,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5380654,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5381274,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5381923,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5382538,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5383234,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5384028,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,140
1783943884.538481,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.5385425,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.538607,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5386732,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5387373,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5387893,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5388403,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.53889,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5389397,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.538988,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.539038,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.539087,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.539137,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5391858,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,46,6,125.209.233.18,192.168.1.6,443,49808,140
1783943884.5392358,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.539287,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,125.209.233.18,49808,443,66
1783943884.5393362,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,1514
1783943884.5394015,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
1783943884.5394578,24:b2:b9:63:90:49,18:bd:ad:17:b9:bf,2048,44,6,23.48.167.23,192.168.1.6,443,53778,2962
1783943884.5395164,d4:e9:8a:f7:44:46,24:b2:b9:63:90:49,2048,64,6,192.168.1.6,23.48.167.23,53778,443,66
